order_id,customer_id,product_name,brand,country,order_date,unit_price
REC-861088,6120,Perly,Perly,"Morocco,United States",2024-02-22,13.18
REC-900952,12550,Prince Goût Chocolat,LU,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States",2024-11-13,1.5
REC-595965,6705,Excellence Noir Prodigieux 90% Cacao,"Lindt EXCELLENCE,Lindt","Argelia,Austria,Bélgica,Bulgaria,Canadá,República Checa,Finlandia,Francia,Polinesia Francesa,Alemania,Irlanda,Italia,Mauricio,Marruecos,Países Bajos,Noruega,Reunión,Rumania,Singapur,España,Suecia,Suiza,Túnez,Reino Unido",2025-02-02,12.99
REC-942653,8645,Tonik,عربي,Maroc,2024-12-11,14.82
REC-885998,14430,Sésame,Gerblé,"Belgium, Bulgaria, France, en:switzerland",2025-08-21,18.4
REC-674324,6760,Шоколад 85% какаова маса,J. D. Gross,"Austria,Belgium,Bulgaria,Estonia,Finland,France,Germany,Italy,Lithuania,Slovakia,Slovenia,Spain,United Kingdom",2024-09-08,19.16
REC-867660,8420,CRISTALINE Eau De Source 0.5L,Cristaline,"Belgium,Côte d'Ivoire,France,Germany,Luxembourg,Mali,Martinique,Russia,Switzerland,United Kingdom",2024-10-10,3.64
REC-448132,9144,Henry’s,Henry's,Maroc,2024-12-30,17.59
REC-202400,10397,Milk chocolate bar,Unknown,"Algeria,Cameroon,France,Morocco,Spain",2024-08-04,11.08
REC-386572,13888,Organic 70% Dark Chocolate Bar,Green & Black's,"France,Irlande,Suède,Royaume-Uni",2025-10-15,12.14
REC-394893,8397,KING COOKIES,Excelo,Morocco,2025-05-25,19.74
REC-965916,6325,Sable coco Henry s 42g,Unknown,Maroc,2024-07-02,2.64
REC-735024,8672,Biscuits croquants au coeur onctueux de Nutella®,"nutella,Ferrero","Francia,Alemania,Italia,Marruecos,Portugal,Rumania,España,Suiza",2024-12-11,10.57
REC-866242,13720,Tartine croustillante Authentique,wasa,"France, Italy, Spain, Switzerland, en:reunion",2024-12-16,6.25
REC-167785,6250,Excellence Noir Intense 70% Cacao,Lindt,"Algérie,Belgique,République tchèque,France,Allemagne,Guadeloupe,Italie,Maroc,La Réunion,Espagne,Suisse",2024-10-26,1.25
REC-625106,12696,Lightly sea salted crisps,Tyrrell's,"France,Germany,Spain,United Kingdom",2024-09-16,1.84
REC-399127,6000,Dark chocolate,Green and black,"Belgium, France, United Kingdom, en:ireland",2025-09-11,19.17
REC-506660,10724,Excellence Noir Puissant 85% Cacao,Lindt,"Autriche,Belgique,France,Allemagne,Italie,Maroc,Pays-Bas,La Réunion,Espagne,Suisse",2024-12-09,14.0
REC-323330,14542,Fourrés Chocolat Noir,Bjorg,"France,Luxembourg,Switzerland",2024-08-12,22.91
REC-726018,6965,Extra dark 74% Cocoa,fin CARRÉ,"Belgium,Bulgaria,Czech Republic,Finland,Germany,Netherlands,Poland,Spain",2025-05-26,23.07
REC-799477,13302,FIBRES,Wasa,"Belgique,France,Guadeloupe,Italie,La Réunion,Espagne,Suisse",2025-03-19,6.57
REC-169584,14120,Henry’s,Henry’s,Maroc,2024-07-02,4.31
